Sentence	Label
Bolivia held a parliamentary election on 1 May 1927, electing a new National Congress.	2
After Sandinista leader Daniel Ortega returned to power in 2007, Russia took over the patron role for Nicaragua Nicaragua was the second country after Russia to recognize the disputed territories of South Ossetia and Abkhazia.	2
Dublin provided the opposition on that occasion, however, victory went to Galway and Clarke collected a coveted All-Ireland medal.	2
"Once Italy entered the war in 1915, Balbo joined the Italian Royal Army (Regio Esercito) as an officer candidate and served in the Alpini (Mountain) Battalion ""Val Fella"" before volunteering for flying training on October 16, 1917."	2
During that time period Mexico, although initially a supporter of the Somoza's, soon changed position and offered support to the Sandinistas.	2
He then competed at the 2005 FIFA World Youth Championship in the Netherlands, helping Colombia to the Round of 16 before losing to eventual champion Argentina.	2
Later orders from France included the Alouette II, Alouette III and Gazelle helicopters, and Fouga Magister and Dassault-Dornier Alpha Jet jet trainers.	2
He was the son of Israel and Bridgett.	2
The Soviets want to expand their influence; the United States intend to appropriate the continent's natural riches; the former empires seek to revive their shaky colonial power; and the young nations defend their newly-won independence, armed with an ideal: internationalism.	2
He made a useful 43 in the second innings, coming in when New Zealand was struggling at 103 for 7 and helping the side avoid defeat.	2
San Diego–Tijuana traces its European roots to 1542 when the land was explored by Portugal on behalf of imperial Spain.	2
After the Safavid conquest of Baku in 1501, the Sufi order was expelled.	2
Victoria appointed 19 Knights Grand Cross, plus an additional 28 honorary Knights Grand Cross, between the order's institution and her death on 22 January 1901; of those 19, six were to Princes of the United Kingdom—her own children, grandchildren or other close relatives—and a further seven to those already holding a peerage..	2
Does anyone know of any archives that have noted certain changes in the political standing between Morocco and Israel to answer this question?	2
In 1821, Mexico gained independence from Spain and Nicaragua became part of the First Mexican Empire.	2
It is the sixth highest honour awarded by Romania ranking just behind the Medal of Faithful Service and ahead of the Order of the Victory of the Romanian Revolution of December 1989.	2
She was confirmed by the United States on June 16, 2000, and received her commission on August 3, 2000.	2
Honoré took the title of Prince himself, and it was only through the protection of France that Monaco escaped total overrun by Spain.	2
After India gained independence in 1947, Bangalore evolved into a manufacturing hub for public sector heavy industries—particularly aerospace, telecommunications, machine tools, heavy equipment, space and defence.	2
Although the official bidding process has not yet begun, Australia, Japan, New Zealand and Thailand have confirmed their interests in potentially staging the tournament.	2
Italy classified cathinone and all structurally derived analogues (including pyrovalerone analogues) as Narcotics on January 2012.	2
Restrictions on the manufacture of certain armaments within the 1919 Treaty of Versailles forbade Germany from manufacturing certain types of weapons, such as light automatic firearms (designated as SMGs with barrels in excess of four inches (102 mm) and magazines holding more than eight rounds).	2
Perhaps specific locations or services use three phases, but Australia and New Zealand both use an internationally-recognised six-phase USAR model (Emergency Management Australia Manual 35, section 1.14 (page 6 & 7) - http://www.ema.gov.au/www/emaweb/rwpattach.nsf/VAP/(3273BD3F76A7A5DEDAE36942A54D7D90)~Manual35-GeneralandDisasterRescue.pdf/$file/Manual35-GeneralandDisasterRescue.pdf (3.71MB)).	2
Buenos Aires remained there until 1941 when the club disaffiliated from the Association.	2
He made a debut 2 days later, on 1 October, during the 0-0 draw with his former club Sofia.	2
This action was taken to ensure the fleet would not fall into German hands, as the Nazis had defeated France and occupied Paris.	2
The film was shot on location in Aceh, and reports on the Province’s battle for independence from Indonesia.	2
Spain recaptured the city in 1732.	2
Hong Kong and Japan advanced but neither got any further, losing play-offs for the next round to South Korea and Israel respectively.	2
After the fall of France to Germany, Girardeau created a factory for underground forces of free France.	2
Spain started off the 2012–13 IRB 7s Series with a bang at the 2012 Gold Coast Sevens, defeating Tonga, Wales and England to finish ninth and win the Bowl.	2
Algeria severed diplomatic relations with the United States on June 6, 1967, in the wake of the June 1967 Arab-Israeli War.	2
March 28: Neapolitan War commenced by Joachim Murat against Austria.	2
Mexico is scheduled to compete at the 2014 FEI World Equestrian Games in the region of Normandy, France.	2
The USA also received an automatic berth for winning the 2008 Olympic Men's Basketball Tournament.	2
The Royal Victorian Order is an order of knighthood awarded by the United Kingdom and several Commonwealth realms.	2
The Treaty of Kiel was unsuccessful, and after the declaration of Norwegian independence, Sweden attempted to recover its sovereignty by force.	2
Later the children in the camp represented almost all nations of Europe occupied by Germany.	2
In 1956, Sudan gained independence and hostility towards the Jewish Community.	2
Until 1962, Algeria had been under the dominion of France.	2
The Gambia competed in the 2010 Commonwealth Games held in Delhi, India, from 3 to 14 October 2010.	2
Under his rule, Polotsk attempted to distance itself from Kiev.	2
The ten elected members were returned from nine constituencies formed from the nine districts, with all districts returning one member except Port Louis, which returned two.	2
A proposal for yet another constitution is being discussed, to allow Turkey to comply with EU accession political criteria.	2
In return, Britain agreed to remain neutral in any conflict between the Ottoman Empire and Russia.	2
Turkey, despite being qualified already, still played at the European championships.	2
Despite leading Mexico to the 2015 CONCACAF Gold Cup, he was sacked as coach of the national team after an alleged physical altercation with a reporter.	2
Tunisia and Algeria qualify for the final tournament.	2
"9 June - Sweden adopts a law to ban the spreading violent video movies to children under the age of 15, and even hinder, but not ban by law, adults from watching video movies with ""brutal and sadist violence""."	2
Cemil Bayik has accused Turkey of protecting and supporting ISIS.	2
In 2006, Zijin had 49.28 tons of the gold output and the gold produced from mining reached 20.70 tons, respectively accounting for 20.53% of China's total gold production and 11.51% of the gold produced from mining in China in the same year.	2
With France, she won the team bronze medal at the 2004 Summer Olympics as well as three team world titles (2005, 2007, and 2008).	2
"Ramat Magshimim (Hebrew: רָמַת מַגְשִׁימִים‎, lit ""Rain-soaked heights"") is an Israeli settlement and moshav in the southern Golan Heights, under the administration of Israel."	2
He was selected against Pakistan on the weight of the 89* that he scored for West Zone against the Pakistanis earlier in the tour.	2
They intended to represent Canada but Matthews' request for a release was denied by U.S.	2
The US didn't send combat troops into Vietnam until 1965.	2
Spain was elevated to core team status for the 2012–13 IRB Sevens World Series, following its performance in qualifying at the 2012 Hong Kong Sevens.	2
Groups interested in freeing Mozambique from Portuguese colonial rule and making it an independent nation emerged in the early 1900s, shortly after Portugal had defeated the last of the native chieftaincies and established effective control over the territory.	2
If tobacco was used all over the pre-Colombian Americas, why would Spain have a monopoly.	2
After Germany invaded Poland on September 1, 1939 Artur along with his wife and child escaped to his wife's hometown in the east, the small town of Buczacz (now Buchach, Ukraine).	2
Falzon has also earned one cap for Malta, appearing in a 3–0 loss to Slovakia on 15 August 2006.	2
On 18 September 1989 she was leased to the Brazilian Navy, and then sold to Brazil where she served as the destroyer Pará (D 27) until 12 November 2008 when she was decommissioned and put in reserve.	2
He got his international debut for Bosnia and Herzegovina on 31 May 2012 in a friendly match against Mexico on Soldier Field in Chicago which Bosnia and Herzegovina lost 2–1 in the dying minutes of the match due to a catastrophic mistake by Stojan Vranješ.	2
France was recorded as having a 2-nil win, but received no points in the standings.	2
Taiwan first established a minimum wage in 1956, with the Minimum Wage Act.	2
Portugal responded by sending an expedition of 600 soldiers, mostly from the colony of São Tome, under the command of Francisco de Gouveia Sottomaior.	2
He spent over 3 years in various Japanese prisoner-of-war camps and had been captured during the Fall of Singapore in February 1942.	2
The establishment and success of business software services firms in Bangalore after the liberalisation of India's economy has led to the growth of India's information technology industry.	2
US had taken an especially active part in similar operations in South Vietnam.	2
That turned out to be his last Test as he was never again selected to play for India.	2
A conflict arises with the arrival of factory owner, Francisco Romani (Santiago Gómez Cou), a calculating authoritarian who admires the United States.	2
Turnbull was selected to face Australia on the 1952–53 Kangaroo tour of Great Britain and France but had to withdraw due to injury, and played in two non-Test matches in the 1954 Great Britain Lions tour of Australia and New Zealand, before having to return prematurely due to injury.	2
He made his senior international debut with Jamaica in 2012.	2
The 1882 Australia v England series was at the time considered to be part of another first-class cricket tour of England, by a combined team from the Australian colonies, but the match arranged between the Australians and an England side was later accepted to be a Test match.	2
24.2% of Berlin voted in favor but the quorum required 25% or more to do so.	2
Scores and results list Australia's goal tally first.	2
As a result of the September 11 attacks, the United States began implementing a range of measures to increase the security of its borders and its identity documents.	2
The USA lost the opening round game against Spain 90–86, but then went on to win their next eight games.	2
Orlando had an early 16–0 advantage but allowed San Francisco to pull ahead.	2
Although the Agreement is open to all states, Ukraine is the only state that has ratified the Agreement but not the Rome Statute of the International Criminal Court.	2
However, not long afterwards, the Cultural Revolution took hold of China, controlling many aspects of life and effectively preventing many films from being made.	2
The Corinthian War was an ancient Greek military conflict between Sparta and four allied states, Thebes, Athens, Corinth, and Argos, which were initially backed by Persia.	2
Dominique Lloyd-Walter, (born 17 June 1981 in London Borough of Harrow) is a professional squash player who represents England.	2
After Somalia's independence in 1960 from Britain and Italy he became an officer in the newly formed Somali National Army.	2
Nepal further considered the decision taken by the neighboring nations as a hegemonic step.	2
The conference ended with the Netherlands agreeing to transfer sovereignty to the United States of Indonesia.	2
Orlando had an early 16–0 advantage but allowed San Francisco to pull ahead.	2
Kosovo declared its independence from Serbia on 17 February 2008 and Norway recognised it on 28 March 2008.	2
Croatia was also a puppet state of Italy from 1941 to 1943.	2
Released by Iraq on March 3, 1991, Bellini and Cocciolone were the only Italian POW's captured during the entire war.	2
The United States and France both formally recognized Algeria on that same day.	2
In that tournament he started every game and was only rested by Pozzo in the first quarter-final encounter against Spain.	2
After the Indian prime minister's visit to China in 2015, India and China agreed to open a trading post in Lipulekh, which was not welcomed by Nepal.	2
The early years of the war were relatively stable for Nat and his contemporaries in the RASC, until they were shipped to Singapore, just days before the capitulation to Japan.	2
In 1820 or 1821, the England family moved from their home in London to Cardiff.	2
The government of France along with the Soviet Union organised, trained and armed a large group of Spaniards earlier liberated from the concentration camps where Spanish republicans had been held by the Front Populaire since they crossed the Spanish-French border at the end of the Spanish civil war in 1939.	2
His breakthrough came with the 1938 film Luciano Serra, Pilot (1938) where he played a First World War veteran who returns to fight for Italy during the Abyssinian War.	2
Benjamin Khor Cheng Jie (born 16 February 1993 in United Kingdom) is a double trap shooter who represents Malaysia.	2
Since the end of the revolution, Mexico and Nicaragua have worked together in numerous projects such as in disaster relief, migration and development.	2
I suspect that Jordan went there and that this Wiki page links to the wrong school.	2
Norway has an embassy in Pristina, while Kosovo has hinted that it will include Norway in the second wave of embassy openings.	2
Len Casey won caps for England while at Hull Kingston Rovers in 1978 against France, and Wales, in 1980 against Wales, in 1981 against France, and Wales, and won caps for Great Britain while at Hull Kingston Rovers in the 1977 Rugby League World Cup against France (sub), New Zealand (sub), and Australia, in 1978 against Australia, while at Bradford Northern in 1979 against Australia (2 matches), and New Zealand (3 matches), while at Hull Kingston Rovers in 1980 against New Zealand (3 matches), in 1983 against France (2 matches).	2
In 2008, the United States underwent a Sharp Decline in Economic Growth.	2
Scores and results list Bosnia and Herzegovina's goal tally first.	2
May 3: Treaty between Russia and Austria, 21 April/3 May, signed at Vienna.	2
In June 2015, O'Dowd made his senior debut for the Netherlands in an Intercontinental Cup match against Papua New Guinea, which held first-class status.	2
The story initially starts by dealing with terrorism at the end of the 20th century, where Japan is the largest economy in the world.	2
China and the Philippines have competing claims over the shoal.	2
However, Álvaro apparently did permit Portugal to settle in Luanda and the colony of Angola was born when Paulo Dias de Novais arrived with his force in 1575.	2
Mongolia participated in the 1998 Asian Games held in Bangkok, Thailand from December 6, 1998, to December 20, 1998.	2
"Jackson had also requested that Uddin build and run him a recording studio within the mansion he was hiring in the UK for the duration of ""This Is It"" concerts, with designs for producing his next record with Uddin."	2
The Ambassador of the United Kingdom to Haiti is the United Kingdom's foremost diplomatic representative to the Republic of Haiti.	2
Because Lebanon was governed by France as a League of Nations mandate 1919–1943, France has long taken a special interest in Lebanon.	2
The story is written from the point of view and understanding of Schtung, a war dog of Soviet Russia.	2
Nepal now intends to solve the issue via diplomatic means with China and India.	2
Pereira began his playing career with Bolivian side Oriente Petrolero he then played for Liverpool and Peñarol in Uruguay before joining Chacarita Juniors in 2006.	2
I relished the attacking field set by Pakistan.	2
After that, Columbia operated in support of the invasion of Balikpapan and took part in the 1945 antishipping sweep in the South China Sea.	2
During his reign Polotsk was at war with Kiev and Novgorod.	2
After the establishment of the People's Republic of China and before the Cultural Revolution, he was credited as one of the top officials in socialist culture.	2
Germany faces the United Kingdom in the Battle of Britain (1940).	2
The University of New Zealand was broken up into four universities (Otago, Canterbury, Auckland and Victoria University) and two agricultural colleges at Canterbury and Massey.	2
Among the early tasks of the squadron was the support of RAF units in France, and the evacuation of them once the fall of France became inevitable.	2
One year later, in 1839, Mexico and Nicaragua established diplomatic relations.	2
In the quarterfinals, the USA team faced France, which held an eight-point lead late in the second half, but the USA team took back the lead and won by eleven to advance to the semifinals.	2
Guo played for the Guangzhou Pharmaceutical youth team before he was loaned to China in the 2007.	2
Moso earned 13 caps for Spain at youth level.	2
"Basically, the US has its ""War on Terror"", and the Israelis just started their own ""War on Terror""."	2
In April 2013, Fernando was selected in Italy's fourteen man squad for the World Cricket League Division Three in Bermuda.	2
In the wake of the 2010 Haiti earthquake, UNESCO's World Heritage Program is helping Haiti assess the damage.	2
Meanwhile, the unified Germans held off the Aussies for the bronze in 7:57.35, 45-hundredths of a second under an old Olympic record set by USA in 2000.	2
If it has its way, Israel will conquer Syria by 2010.	2
Today, IMSL is a full member of the Asian Association of Management Organisations (AAMO) and Sri Lanka's sole representative there.	2
Jamaica's capture was the casus belli that resulted in actual war between England and Spain in 1655.	2
In early October of that year it was abandoned by the US, considered for sale, but was taken up again in July 1878 as the Principal Recruiting Depot.	2
In 1990, Mexico, along with the government of Colombia, Panama and Venezuela created the Contadora Group to try and mediate in the Central American crises that was gripping the region at the time.	2
Before the tour in England, Argentina hosted South Africa, losing the match 33-37.	2
The 2012 population of the region was 4,922,723, making it the largest bi-national conurbation shared between the United States and Mexico, the second-largest shared between the US and another country (after Detroit-Windsor), and the fourth largest in the world.	2
After the fall of France to Germany, Girardeau created a factory for underground forces of free France.	2
Taking advantage of this fact, Athens launched several naval campaigns in the later years of the war, recapturing a number of islands that had been part of the original Athenian Empire during the 5th century BC.	2
Russia is sole successor to the Soviet Union, so ties have naturally continued with Russia since the Belavezha Accords.	2
York was selected to play for New South Wales and Australia in 1928.	2
It would be almost impossible for Ghana to become a prosperous nation without the help of foreign nations, since they can’t export what others won’t buy.	2
York primarily played as a prop-forward representing Australia in two test matches against Great Britain.	2
Throughout his career he composed numerous pieces of meykhana based on modern Azerbaijan.	2
The decision proved a poor one though, as Australia were easily skittled out for a meagre 63 in 80 overs, taking just over 2 hours.	2
Her post had the objective to improve public awareness of the European Union and Turkey's accession process.	2
This marked the birth of the independent Dominican Republic.	2
In that season, Spain played in the 2012 Scotland Sevens, reaching the Bowl finals, and the 2012 London Sevens, reaching the Cup quarterfinal.	2
In the 1994 Peace Agreement between Israel and Jordan it was decided that operations would be transferred from Eilat Airport to Aqaba Airport.	2
Concepción Bona Hernández (December 6, 1824 - July 2, 1901) was a nursery school teacher and a campaigner for the independence of the Dominican Republic.	2
Two were bought by Austria-Hungary.	2
The United States named the war after Red Cloud, a prominent Oglala Lakota chief who led his followers in opposition to the presence of the U.S. military in the area.	2
"Following the program, over 250 members of the organization lobbied the U.S. to ""support Gen. Petraeus and the War in Iraq"" and to ask them to denounce MoveOn.org's attack on ""General Betray."	2
Mexico has qualified one team of four athletes in jumping.	2
In fact, if the History of Monaco article is to be believed, Landi, a close ally of Spain, almost gave away the fledgling nation.	2
Ethiopia made their Paralympic debut at the 2004 Games in Athens.	2
Soviet Union invades Poland, Finland, occupies Latvia, Estonia, Lithuania and Romanian region of Bessarabia from 1939 to 1941.	2
Deseret was never officially recognized by the United States, and so Utah Territory was organized by the U.S. Congress instead.	2
Sun Hai Bo (born (1983-03-25)25 March 1983) is a Chinese male former weightlifter, who competed in the +105 kg category and represented China at international competitions.	2
In July 1940, the Britain shelled French warships in the port after they refused a British ultimatum to surrender.	2
"What was Russia's take on this ""Polish invasion""?"	2
Mexico and Nicaragua are two Latin American nations that share a common history in the fact that both nations were colonized by the Spanish empire.	2
Laksono is a supporter of Iran's nuclear program.	2
The only World Cup which South Vietnam entered was the 1974 tournament in West Germany.	2
It has led opposition in the Kingdom to US military action in Iraq and was at the forefront of demonstrations against military action in Falluja.	2
Cuba was excluded at the request of the United States.	2
Wangenheim sent Parvus to Berlin in March 1915 endorsing Parvus' plan that Germany back the Bolsheviks against the Russian Empire.	2
Singapore competed at the 2006 Asian Games in Doha under the IOC country code SIN.	2
Founded in 1893, Basel play home games at St. Jakob-Park, which is currently the largest club stadium in Switzerland.	2
Ancient Egypt was a civilization in northeastern Africa concentrated along the middle to lower reaches of the Nile River, reaching its greatest extent in the second millennium BC, during the New Kingdom.	2
According to Syria, Ketyan had a population of 1876 in the 2004 census.	2
Luke is viciously confronted by Jordan who was also given a USB with the initials 'LH' etched onto it.	2
It defended London during The Blitz, landed on Juno Beach on D-Day, and defended the cities of Belgium against V-1 flying bombs.	2
Johansson competed for Finland in the 1920 Summer Olympics held in Antwerp, Belgium, winning the bronze behind Jonni Myyrä and Urho Peltonen and ahead of Julius Saaristo as Finland claimed the first four spots.	2
The Damen Group shipbuilders, based in the Netherlands, has managed the manufacture of Damen Stan patrol vessel 4708 for South Africa and the United States.	2
In 1943-44, the US acquired 2,284 acres (9.24 km2) to build a satellite airfield for the use of Kingman AAF & its Gunnery School.	2
France coach Bernard Laporte acknowledged Ouedraogo's outstanding club form by including him in France's mid-year Test squad for a two-game series against the All Blacks in New Zealand in 2007.	2
The Invasion of Jamaica was an amphibious expedition conducted by the English in the Caribbean in 1655 that resulted in the capture of the island from Spain.	2
Despite playing a key part in the Basel first team he surprisingly never played for Switzerland.	2
Bikaner State, founded in the 15th century and persisted until shortly after India's Independence in 1947.	2
The Lombard invasion of Italy was opposed by the Byzantine Empire, which retained control of much of the peninsula until the mid-8th century.	2
The immediate cause of the war was a local conflict in northwest Greece in which both Thebes and Sparta intervened.	2
From Russia with love.	2
The investigators representing Japan pointed to the possibility of a false glide path signal causing the crash.	2
As of 1 May 2016, Bejarano earned 16 caps for Bolivia and he represented his country in 5 FIFA World Cup qualification matches.	2
The depot closed in 1985 and was then vacant for several years, until the City of Lebanon purchased it from SP in 1996.	2
Nicaragua voted consistently for Communist causes during the 1980s.	2
In the reply, New Zealand were all out for 206 runs in 46 overs with Daniel Vettori scoring 79 runs.	2
Kettunen was selected to represent Finland at the 2002 Winter Olympics in Salt Lake City.	2
Samuel Adams was a Massachusetts statesman, politician, writer, and political philosopher, and one of the Founding Fathers of the United States.	2
On May 19, 2007, Indonesia launched its own version of Deal or No Deal, called Deal or No Deal Indonesia, hosted by Tantowi Yahya, previously host of that country's version of Who Wants to Be a Millionaire?.	2
After the Indian prime minister's visit to China in 2015, India and China agreed to open a trading post in Lipulekh, which was not welcomed by Nepal.	2
Prior to Australian Federation the island of Tasmania was a colony of the British Empire, and as such was often at war with Britain’s enemies and European rivals, such as France and later Russia.	2
This is game 4 in Group B between Finland and China in the women's ice hockey tournament of the 2010 Winter Olympics.	2
Under his rule, Polotsk attempted to distance itself from Kiev.	2
In July 1941, after the Nazi Germany attacked the Soviet Union, Buczacz was taken over by the Germans.	2
Mizo Accord an accord signed between the Mizo National Front and India on June 30, 1986.	2
Mexico will be represented by eight athletes competing in the jumping, para-dressage and reining events.	2
Whereas she suggests they went but didn't play due to a political issue with Israel.	2
During first years of European competitions Germany was divided to West and East Germany.	2
Following Bulgaria's armistice with the Soviet Union and declaration of war against Germany.	2
